	Gene symbol
0	MT-ND1
1	MT-ND2
2	MT-CO1
3	MT-CO2
4	MT-ATP8
5	MT-ATP6
6	MT-CO3
7	MT-ND3
8	MT-ND4L
9	MT-ND4
10	MT-ND5
11	MT-ND6
12	MT-CYB
13	KRTAP5-1
14	KRTAP5-2
15	KRTAP5-3
16	KRTAP5-4
17	KRTAP5-5
18	NEDD8-MDP1
19	H3-4
20	KRTAP25-1
21	KRTAP24-1
22	TMEM256-PLSCR3
23	NKX2-2
24	CFAP298-TCP10L
25	NKX2-4
26	BIVM-ERCC5
27	GET1-SH3BGR
28	PRR5-ARHGAP8
29	SYS1-DBNDD2
30	STX16-NPEPL1
31	KRTAP5-2
32	KRTAP5-3
33	KRTAP5-4
34	KRTAP5-1
35	KRTAP5-5
36	OR4M2-OT1
37	KRTAP10-1
38	KRTAP10-2
39	KRTAP10-3
40	KRTAP10-5
41	KRTAP10-6
42	KRTAP10-7
43	KRTAP10-8
44	KRTAP10-10
45	KRTAP10-11
46	KRTAP12-4
47	KRTAP12-3
48	KRTAP12-2
49	KRTAP12-1
50	RPL17-C18orf32
51	NKX3-1
52	SPECC1L-ADORA2A
53	TGIF2-RAB5IF
54	KRTAP5-6
55	KRTAP5-1
56	KRTAP5-4
57	KRTAP5-5
58	KRTAP5-3
59	KRTAP5-2
60	KRTAP8-1
61	KRTAP7-1
62	KRTAP11-1
63	KRTAP19-8
64	ERVH48-1
65	KRTAP10-9
66	BUB1B-PAK6
67	KRTAP10-4
68	EEF1E1-BLOC1S5
69	BLOC1S5-TXNDC5
70	KRTAP17-1
71	KRTAP2-3
72	KRTAP2-4
73	KRTAP4-11
74	KRTAP4-12
75	KRTAP4-5
76	KRTAP4-4
77	KRTAP4-8
78	KRTAP16-1
79	KRTAP4-2
80	KRTAP9-3
81	KRTAP9-8
82	KRTAP9-4
83	KRTAP29-1
84	KRTAP4-6
85	KRTAP4-9
86	KRTAP4-7
87	KRTAP2-2
88	KRTAP4-16
89	CORO7-PAM16
90	EPPIN-WFDC6
91	KRTAP9-9
92	KRTAP9-2
93	KRTAP9-4
94	KRTAP9-3
95	KRTAP29-1
96	KRTAP9-2
97	KRTAP9-4
98	KRTAP9-6
99	KRTAP9-7
100	KRTAP29-1
101	KRTAP9-9
102	KRTAP26-1
103	KRTAP27-1
104	KRTAP13-2
105	KRTAP13-1
106	KRTAP15-1
107	KRTAP19-1
108	KRTAP19-2
109	KRTAP19-3
110	KRTAP19-4
111	KRTAP19-5
112	KRTAP19-6
113	KRTAP19-7
114	KRTAP22-2
115	KRTAP6-3
116	KRTAP22-1
117	KRTAP20-1
118	KRTAP20-4
119	KRTAP20-2
120	KRTAP20-3
121	KRTAP21-3
122	KRTAP21-2
123	KRTAP21-1
124	KRTAP23-1
125	KRTAP13-3
126	KRTAP13-4
127	KRTAP6-2
128	KRTAP6-1
129	KRTAP16-1
130	KRTAP17-1
131	KLRC4-KLRK1
132	MSANTD3-TMEFF1
133	KRTAP3-1
134	KRTAP3-2
135	KRTAP4-9
136	KRTAP2-4
137	KRTAP1-1
138	KRTAP4-11
139	KRTAP1-3
140	KRTAP4-16
141	KRTAP1-5
142	KRTAP2-1
143	KRTAP3-3
144	KRTAP2-3
145	KRTAP4-12
146	KRTAP1-4
147	KRTAP4-8
148	ARHGAP19-SLIT1
149	CCL15-CCL14
150	IFNAR2-IL10RB
151	KRTAP10-12
152	CCDC169-SOHLH2
153	H3-5
154	PEDS1-UBE2V1
155	NKX1-2
156	ZFP91-CNTF
157	CORO7-PAM16
158	RPL36A-HNRNPH2
159	ERVW-1
160	LYNX1-SLURP2
161	HLA-DRA
162	BORCS8-MEF2B
163	HLA-DPB1
164	HLA-DMB
165	HLA-G
166	HLA-A
167	HLA-DRB1
168	HLA-DPA1
169	HLA-F
170	HLA-DQB1
171	HLA-DQA1
172	HLA-DOB
173	HLA-G
174	HLA-DMA
175	CHKB-CPT1B
176	HLA-DOA
177	HLA-DRA
178	HLA-DQB2
179	HLA-DQA2
180	HLA-E
181	HLA-DPA1
182	HLA-DRB3
183	HLA-DOA
184	HLA-A
185	LY6G6F-LY6G6D
186	LY6G6F-LY6G6D
187	HLA-E
188	HLA-F
189	HLA-DMA
190	HLA-DQB2
191	HLA-DPB1
192	HLA-DOA
193	NEDD8-MDP1
194	HLA-DPA1
195	HLA-DMA
196	HLA-B
197	HLA-DQA1
198	H1-0
199	HLA-F
200	HLA-C
201	HLA-DOB
